participant_id,task_qns,task_time,variant,task_type,feedback_avg,feedback_scores
11096,81,41.611000000000004,A,view class info,5.714285714285714,"['7', '7', '6', '6', '6', '3', '5']"
94531,81,30.799,A,view class info,3.5714285714285716,"['4', '4', '2', '2', '6', '6', '1']"
70610,81,29.616999999999997,A,view class info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
68221,81,3.4069999999999965,A,view class info,4.285714285714286,"['6', '6', '3', '4', '5', '3', '3']"
47477,81,24.968,A,view class info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
51736,81,27.851,A,view class info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
88314,81,20.360000000000003,A,view class info,4.714285714285714,"['6', '6', '4', '3', '4', '5', '5']"
74407,81,25.610999999999997,A,view class info,5.857142857142857,"['7', '7', '5', '6', '5', '5', '6']"
23083,81,19.255,A,view class info,6.571428571428571,"['7', '7', '7', '6', '6', '7', '6']"
77207,81,16.651,A,view class info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
27484,81,19.378999999999998,A,view class info,3.2857142857142856,"['6', '6', '2', '2', '3', '2', '2']"
52320,81,34.102999999999994,A,view class info,3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']"
23773,81,20.971,A,view class info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
86306,81,30.337000000000003,A,view class info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
11096,82,0.720000000000006,A,view personal info,5.714285714285714,"['7', '7', '6', '6', '6', '3', '5']"
94531,82,0.7530000000000001,A,view personal info,3.5714285714285716,"['4', '4', '2', '2', '6', '6', '1']"
70610,82,0.8870000000000005,A,view personal info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
68221,82,1.261999999999997,A,view personal info,4.285714285714286,"['6', '6', '3', '4', '5', '3', '3']"
47477,82,9.761,A,view personal info,6.0,"['6', '6', '6', '6', '6', '6', '6']"
51736,82,50.202,A,view personal info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
88314,82,11.45,A,view personal info,4.714285714285714,"['6', '6', '4', '3', '4', '5', '5']"
74407,82,26.727000000000004,A,view personal info,5.857142857142857,"['7', '7', '5', '6', '5', '5', '6']"
23083,82,60.951,A,view personal info,6.571428571428571,"['7', '7', '7', '6', '6', '7', '6']"
77207,82,1.2569999999999997,A,view personal info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
27484,82,12.007000000000001,A,view personal info,3.2857142857142856,"['6', '6', '2', '2', '3', '2', '2']"
52320,82,24.031,A,view personal info,3.857142857142857,"['6', '6', '3', '3', '3', '3', '3']"
23773,82,0.8240000000000016,A,view personal info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
86306,82,13.110000000000001,A,view personal info,7.0,"['7', '7', '7', '7', '7', '7', '7']"
