uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,variant
OS_X-Chrome-5432512683353011,47477,1,800,2025-04-18 20:27:50,118.365,18,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=47477,"login-b.html, homepage-b.html, personal-info.html, course-registration.html, view-classes.html",D
OS_X-Chrome-5432512683353011,47477,2,818,2025-04-18 20:30:08,104.154,10,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-a&participant_id=47477,"login-a.html, homepage-b.html, manage-student-finance.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",B
OS_X-Chrome-5432512683353011,47477,3,828,2025-04-18 20:32:02,25.778,20,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=47477#,"login-b.html, personal-info.html, contact-details.html",C
OS_X-Chrome-5432512683353011,47477,4,848,2025-04-18 20:32:51,83.536,10,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=47477,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, academics.html, view-classes.html",C
OS_X-Chrome-5432512683353011,47477,6,861,2025-04-18 20:34:39,16.413,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=47477,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
OS_X-Chrome-5432512683353011,47477,7,867,2025-04-18 20:35:30,15.661,4,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",D
OS_X-Chrome-5432512683353011,47477,8,871,2025-04-18 20:35:51,28.726,7,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=47477#,"login-b.html, homepage-b.html, personal-info.html, contact-details.html",D
OS_X-Chrome-5432512683353011,47477,9,878,2025-04-18 20:36:25,15.787,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
OS_X-Chrome-5795460201116177,70610,1,466,2025-04-15 22:24:02,43.463,47,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=70610#,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
OS_X-Chrome-5795460201116177,70610,4,520,2025-04-15 22:27:23,37.936,13,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=70610,"login-b.html, homepage-b.html, personal-info.html, addresses.html, contact-details.html",D
OS_X-Chrome-5795460201116177,70610,5,533,2025-04-15 22:28:10,13.977,12,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=70610#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",D
OS_X-Chrome-5795460201116177,70610,6,545,2025-04-15 22:30:58,34.91,21,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A
OS_X-Chrome-5795460201116177,70610,8,568,2025-04-15 22:31:54,26.852,17,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A
OS_X-Chrome-5795460201116177,70610,10,591,2025-04-15 22:34:39,23.293,19,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-b-home-a&participant_id=70610#,"login-b.html, homepage-a.html, personal-info.html, contact-details.html, addresses.html",C
OS_X-Chrome-5795460201116177,70610,11,610,2025-04-15 22:35:16,105.623,17,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-b&participant_id=70610,"login-b.html, homepage-a.html, personal-info.html, financials.html, manage-student-finance.html, login-a.html",C
