uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,Portal,TaskLabel,comments
OS_X-Chrome-5432512683353011,47477,3,828,2025-04-18 20:32:02,25.778,20,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=47477#,"login-b.html, personal-info.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html",D,view_personal_info,Visited 1 required pages
OS_X-Chrome-5432512683353011,47477,6,861,2025-04-18 20:34:39,16.413,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=47477,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html",A,view_finance_info,Visited 1 required pages
OS_X-Chrome-5432512683353011,47477,7,867,2025-04-18 20:35:30,15.661,4,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",B,view_class_info,Visited 1 required pages
OS_X-Chrome-5432512683353011,47477,8,871,2025-04-18 20:35:51,28.726,7,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=47477#,"login-b.html, homepage-b.html, personal-info.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html",B,view_personal_info,Visited 1 required pages
OS_X-Chrome-5432512683353011,47477,9,878,2025-04-18 20:36:25,15.787,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html, manage-student-finance.html",B,view_finance_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,1,466,2025-04-15 22:24:02,43.463,47,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=70610#,"login-a.html, homepage-a.html, academics.html, academics.html, academics.html, academics.html, academics.html, course-registration.html, course-registration.html, academics.html, academics.html, academics.html, academics.html, academics.html, course-registration.html, academics.html, academics.html, course-registration.html, course-registration.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html",A,view_class_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,4,520,2025-04-15 22:27:23,37.936,13,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=70610,"login-b.html, homepage-b.html, personal-info.html, personal-info.html, personal-info.html, addresses.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, contact-details.html, personal-info.html, personal-info.html",B,view_personal_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,5,533,2025-04-15 22:28:10,13.977,12,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=70610#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html",B,view_finance_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,6,545,2025-04-15 22:30:58,34.91,21,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, academics.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, view-classes.html, academics.html, academics.html, course-registration.html, view-classes.html, view-classes.html, view-classes.html, view-classes.html, login-a.html",A,view_class_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,8,568,2025-04-15 22:31:54,26.852,17,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, financials.html, financials.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, manage-student-finance.html, financials.html, manage-student-finance.html, manage-student-finance.html",A,view_finance_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,10,591,2025-04-15 22:34:39,23.293,19,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-b-home-a&participant_id=70610#,"login-b.html, homepage-a.html, personal-info.html, contact-details.html, addresses.html, addresses.html, addresses.html, addresses.html, addresses.html, addresses.html, contact-details.html, contact-details.html, personal-info.html, personal-info.html, addresses.html, addresses.html, addresses.html, addresses.html, addresses.html",D,view_personal_info,Visited 1 required pages
OS_X-Chrome-5795460201116177,70610,13,631,2025-04-15 22:37:30,4.322,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=70610,"login-a.html, homepage-b.html, personal-info.html",C,view_personal_info,Visited 1 required pages
OS_X-Chrome-6755602259412075,46402,1,206,2025-04-14 14:50:45,78.129,7,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-b&participant_id=46402,"login-a.html, login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html, course-registration.html, view-classes.html",A,view_class_info,Visited 1 required pages
OS_X-Chrome-9255620415972017,23773,1,1702,2025-04-20 18:06:24,48.474,11,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-a&participant_id=23773,"login-b.html, homepage-a.html, homepage-a.html, homepage-a.html, homepage-a.html, homepage-a.html, academics.html, course-registration.html, academics.html, homepage-a.html, personal-info.html",D,view_personal_info,Visited 1 required pages
OS_X-Chrome-9477798138328961,68221,2,692,2025-04-15 23:39:34,14.141,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=68221,"login-b.html, homepage-b.html, financials-b.html, financials-b.html, financials-b.html, manage-student-finance.html",B,view_finance_info,Visited 1 required pages
OS_X-Chrome-9477798138328961,68221,5,727,2025-04-15 23:43:58,33.568,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-a&participant_id=68221,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, manage-student-finance.html",D,view_finance_info,Visited 1 required pages
OS_X-Firefox-4934443760132474,94531,6,338,2025-04-15 20:33:33,29.966,16,https://cs4249-experiment-setup.vercel.app/course-registration.html?variant=login-a-home-b&participant_id=94531#,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html, course-registration.html",C,view_class_info,Visited 1 required pages
OS_X-Firefox-4934443760132474,94531,7,354,2025-04-15 20:34:55,90.67,25,https://cs4249-experiment-setup.vercel.app/financials-b.html?variant=login-a-home-b&participant_id=94531,"login-a.html, homepage-b.html, personal-info.html, addresses.html, homepage-b.html, financials-b.html, financials-b.html, financials-b.html, financials-b.html, financials-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, homepage-b.html, course-registration.html, homepage-b.html, homepage-b.html, financials-b.html, financials-b.html",C,view_personal_info,Visited 1 required pages
