uid,participant_id,trial_num_target_based,first_entry_index,time_of_first_entry,task_time,number_of_clicks,last_url,pages_visited,variant,Comments
OS_X-Chrome-5432512683353011,47477,TBD,800,18/4/2025 20:27,118.365,18,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=47477,"login-b.html, homepage-b.html, personal-info.html, course-registration.html, view-classes.html",B,training
OS_X-Chrome-5432512683353011,47477,view_class_and_finance_info,818,18/4/2025 20:30,104.154,10,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-a&participant_id=47477,"login-a.html, homepage-b.html, manage-student-finance.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",C,2 in 1
OS_X-Chrome-5432512683353011,47477,view_personal_info,828,18/4/2025 20:32,25.778,20,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-a&participant_id=47477#,"login-b.html, personal-info.html, contact-details.html",D,skip class task
OS_X-Chrome-5432512683353011,47477,view_class_and_finance_info,848,18/4/2025 20:32,83.536,10,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=47477,"login-b.html, homepage-a.html, financials.html, manage-student-finance.html, academics.html, view-classes.html",D,2 in 1
OS_X-Chrome-5432512683353011,47477,view_finance_info,861,18/4/2025 20:34,16.413,6,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=47477,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A,skip first 2 task
OS_X-Chrome-5432512683353011,47477,view_class_info,867,18/4/2025 20:35,15.661,4,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, course-registration.html, view-classes.html",B,
OS_X-Chrome-5432512683353011,47477,view_personal_info,871,18/4/2025 20:35,28.726,7,https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=47477#,"login-b.html, homepage-b.html, personal-info.html, contact-details.html",B,
OS_X-Chrome-5432512683353011,47477,view_finance_info,878,18/4/2025 20:36,15.787,5,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=47477,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",B,
OS_X-Chrome-5795460201116177,70610,TBD,466,15/4/2025 22:24,43.463,47,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-a&participant_id=70610#,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A,training
OS_X-Chrome-5795460201116177,70610,view_personal_info,520,15/4/2025 22:27,37.936,13,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-b-home-b&participant_id=70610,"login-b.html, homepage-b.html, personal-info.html, addresses.html, contact-details.html",B,skip first class task
OS_X-Chrome-5795460201116177,70610,view_finance_info,533,15/4/2025 22:28,13.977,12,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-b-home-b&participant_id=70610#,"login-b.html, homepage-b.html, financials-b.html, manage-student-finance.html",B,
OS_X-Chrome-5795460201116177,70610,view_class_info,545,15/4/2025 22:30,34.91,21,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, academics.html, course-registration.html, view-classes.html",A,
OS_X-Chrome-5795460201116177,70610,view_finance_info,568,15/4/2025 22:31,26.852,17,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-a&participant_id=70610,"login-a.html, homepage-a.html, financials.html, manage-student-finance.html",A,skip personal info task
OS_X-Chrome-5795460201116177,70610,view_personal_info,591,15/4/2025 22:34,23.293,19,https://cs4249-experiment-setup.vercel.app/addresses.html?variant=login-b-home-a&participant_id=70610#,"login-b.html, homepage-a.html, personal-info.html, contact-details.html, addresses.html",D,skip class task
OS_X-Chrome-5795460201116177,70610,view_finance_info,610,15/4/2025 22:35,105.623,17,https://cs4249-experiment-setup.vercel.app/login-a.html?variant=login-a-home-b&participant_id=70610,"login-b.html, homepage-a.html, personal-info.html, financials.html, manage-student-finance.html, login-a.html",D,
OS_X-Chrome-5795460201116177,70610,view_personal_info,631,15/4/2025 22:37,4.322,3,https://cs4249-experiment-setup.vercel.app/personal-info.html?variant=login-a-home-b&participant_id=70610,"login-a.html, homepage-b.html, personal-info.html",C,skip class task
OS_X-Chrome-5795460201116177,70610,view_finance_info,634,15/4/2025 22:37,10.802,10,https://cs4249-experiment-setup.vercel.app/manage-student-finance.html?variant=login-a-home-b&participant_id=70610,"login-a.html, homepage-b.html, personal-info.html, financials.html, manage-student-finance.html",C,
OS_X-Chrome-6755602259412075,46402,TBD,206,14/4/2025 14:50,78.129,8,https://cs4249-experiment-setup.vercel.app/view-classes.html?variant=login-a-home-b&participant_id=46402,"login-a.html, homepage-b.html, course-registration.html, view-classes.html, academics.html",A,incomplete
