StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Q1,Q2,Q3,Q4,Q66,Q5,Q7,Q56,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q57,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q48,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q59,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,Q95,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q68,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q67,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q69,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q71,Q90_First Click,Q90_Last Click,Q90_Page Submit,Q90_Click Count,Q70,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,Q72,Q92_First Click,Q92_Last Click,Q92_Page Submit,Q92_Click Count,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q78,Q6,Q6_6_TEXT,Q55,Q56,Q57,Random ID,timestamp,arrangement
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Participant's Agreement

By participating in this study, you acknowledge that:
 •	You have read the information provided in this consent form.
 •	You understand the purpose of the study, the procedures involved, and any potential risks.
 •	You voluntarily agree to participate in the research.

You understand that you can withdraw at any time without any consequences, and your data will be discarded.

Please click ""I Agree"" to indicate your consent to participate in this study. 
By clicking ""I Agree"", you are confirming that you have understood the information provided and agree to participate voluntarily.",Are you currently a NUS student?,Have you used the EduRec System before?,How would you rate your familiarity with digital tools and technology?,How comfortable are you with using online student portals?,How many tasks do you need to complete for each portal?,Is this you first semester in NUS?,How often do you visit EduRec System per semester ?,"Task: Please go to the 'Course Registration' section and locate the lecture location for the course 'CS4249: Phenomena and Theories of Human-Computer Interaction'.



Click here to start the task. [Field-timestamp]



Select the lecture room for course 'CS4249: Phenomena and Theories of Human-Computer Interaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and find the Student ID assigned to you.



Click here to start the task. [Field-timestamp]



Select the Student ID assigned to you.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and find the total amount payable for the current student bill.



Click here to start the task. [Field-timestamp]



Select the total amount payable for the current student bill.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal A.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal A.,Do you agree with the following statements? - It is easy to navigate the system on Portal A.,Do you agree with the following statements? - The layout of the main menu is clear on Portal A.,Do you agree with the following statements? - It is easy to access the course registration information on Portal A.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal A.,Do you agree with the following statements? - It is easy to access the student bill information on Portal A.,"Task: Please go to the 'Course Registration' section and find the lecture timeslot for the course 'CS4249: Phenomena and Theories of Human-Computer Interaction.



Click here to start the task.[Field-timestamp]



Select the lecture timeslot of the course",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and find the Email ID assigned to you.



Click here to start the task.[Field-timestamp]



Select the Student ID assigned to you.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and find the Net tuition fee for the current student bill.



Click here to start the task.[Field-timestamp]



Select the tuition fee amount.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal B.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal B.,Do you agree with the following statements? - It is easy to navigate the system on Portal B.,Do you agree with the following statements? - The layout of the main menu is clear on Portal B.,Do you agree with the following statements? - It is easy to access the course registration information on Portal B.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal B.,Do you agree with the following statements? - It is easy to access the student bill information on Portal B.,"Task: Please go to the 'Course Registration' section and identify the Course Code for which was not registered.



Click here to start the task.[Field-timestamp]



Select the Course Code for the Course that was not registered.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and check if the current mailing address postal code is 119077.



Click here to start the task.[Field-timestamp]



Select the correct answer.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and locate the miscellaneous student fee for the current bill.



Click here to start the task.[Field-timestamp]



Select the amount for miscellaneous student fee.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statement? - The login button is easy to locate on Portal C.,Do you agree with the following statement? - The design of the login button felt intuitive on Portal C.,Do you agree with the following statement? - It is easy to navigate the system on Portal C.,Do you agree with the following statement? - The layout of the main menu was clear on Portal C.,Do you agree with the following statement? - It is easy to access the course registration information on Portal C.,Do you agree with the following statement? - It is easy to access the individual contact information on Portal C.,Do you agree with the following statement? - It is easy to access the student bill information on Portal C.,"Task: Please go to the 'Course Registration' section and find the Course Code for the class scheduled on Tuesday



Click here to start the task.[Field-timestamp]



Select the Course Code:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and verify if your current contact number is listed as +65 6516 6666.



Click here to start the task.[Field-timestamp]



Select the correct answer.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and locate the Miscellaneous Health Fee for the current bill.



Click here to start the task.[Field-timestamp]



Select the amount for the Miscellaneous Health Fee",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal D.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal D.,Do you agree with the following statements? - It is easy to navigate the system on Portal D.,Do you agree with the following statements? - The layout of the main menu is clear on Portal D.,Do you agree with the following statements? - It is easy to access the course registration information on Portal D.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal D.,Do you agree with the following statements? - It is easy to access the student bill information on Portal D.,Which of the following best describes your background?,"What is your current program at NUS? 
(Select the category that best describes your field of study) - Selected Choice","What is your current program at NUS? 
(Select the category that best describes your field of study) - Other (Please specify): - Text",What improvements would you suggest for the system?,Were there any issues you encountered that impacted your overall experience?,Do you have any additional comments or suggestions?,Random ID,timestamp,arrangement
"{""ImportId"":""startDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID81""}","{""ImportId"":""QID24""}","{""ImportId"":""QID18""}","{""ImportId"":""QID71""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID65_6""}","{""ImportId"":""QID65_7""}","{""ImportId"":""QID74""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_7""}","{""ImportId"":""QID83""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID104_FIRST_CLICK""}","{""ImportId"":""QID104_LAST_CLICK""}","{""ImportId"":""QID104_PAGE_SUBMIT""}","{""ImportId"":""QID104_CLICK_COUNT""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID61_6""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID86""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID62_5""}","{""ImportId"":""QID62_6""}","{""ImportId"":""QID62_7""}","{""ImportId"":""QID93""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_6_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""timestamp""}","{""ImportId"":""arrangement""}"
14/4/2025 12:22,14/4/2025 12:37,0,138.75.115.88,100,926,1,14/4/2025 12:37,R_4dGIlBgbqgxz3No,,,,,1.3756,103.7685,anonymous,EN,1,1,1,1,2,2,3,2,3,2,3.33,42.164,44.941,2,1,45.431,45.431,46.151,1,2,19.348,19.348,19.94,1,6,6,6,6,6,6,6,3,9.931,36.303,43.342,2,2,36.625,36.625,37.3,1,2,4.68,52.381,63.632,3,7,7,6,6,6,3,5,1,4.101,87.89,90.549,3,2,27.219,46.96,48.186,2,1,4.619,42.583,43.346,2,6,6,6,6,6,5,6,1,1.439,20.855,21.42,4,2,5.17,18.506,19.129,2,2,12.153,33.255,33.833,2,6,6,6,4,6,6,6,1,5,,"i like the top nav bar. it is easier to toggle between the different pages, rather than the hidden nav bar. 

though I felt the side bar was similar to the current design. maybe the information architecture could be improved overall","some buttons dont work , 
e.g. the home button sometimes doesn't bring me back
e.g. the drop down button on the top left sometimes doesn't bring out the menu bar when I click it","not sure if my computer issue, but some time I have to click a button multiple times for it to work.",11096,2025-04-14T12:24:50+08:00,1
15/4/2025 20:16,15/4/2025 20:54,0,137.132.26.210,100,2327,1,15/4/2025 20:54,R_9jWbHzaptt7ptew,,,,,1.3024,103.7857,anonymous,EN,0.800000012,1,1,1,2,3,3,1,2,2,12.865,42.134,43.664,2,1,17.189,17.189,17.942,1,2,42.641,42.641,44.038,1,4,2,2,2,1,2,4,3,10.838,49.088,51.287,2,3,26.667,28.635,28.995,2,1,2.349,36.11,36.571,3,4,4,2,2,6,6,1,1,4.047,95.077,103.445,6,2,7.986,42.335,58.792,4,1,49.183,49.183,51.381,1,6,6,2,2,2,7,1,1,7.084,44.836,46.251,2,2,37.448,37.448,43.097,1,2,1.315,56.867,57.678,2,6,6,3,3,1,1,4,2,1,,Fix the layout of the financials page. Fix the interactions (home button clickable) when in contact details. Make the buttons at the top go together with the overall layout (right now: a bit mismatched),The financials layout and the interactions in contact details,No,94531,2025-04-15T20:32:23+08:00,3
15/4/2025 22:22,15/4/2025 22:41,0,58.96.212.227,100,1148,1,15/4/2025 22:41,R_9CjqogT8bwG4580,,,,,1.2835,103.8376,anonymous,EN,1,1,1,1,3,2,3,2,2,2,5.612,33.817,35.229,2,1,21.227,21.227,22.114,1,2,29.378,47.251,47.676,3,2,2,2,2,2,4,2,3,10.82,29.31,30.272,7,3,39.334,42.645,43.699,2,1,52.192,52.192,61.3,1,7,7,7,7,7,7,7,3,27.324,27.324,28.191,1,2,17.198,17.198,18.265,1,1,29.762,29.762,30.797,1,2,2,6,6,6,6,6,1,22.432,42.701,51.958,4,2,37.963,37.963,39.986,1,2,41.847,41.847,42.855,1,7,7,7,3,3,3,3,1,1,,Not sure.,"no, i wish i didnt have to open a new tab every time and close it i guess","Nope, thanks!",70610,2025-04-15T22:26:27+08:00,2
15/4/2025 23:20,15/4/2025 23:55,0,103.6.151.219,100,2147,1,15/4/2025 23:56,R_9kL17GI2jB1NgdK,,,,,1.3357,103.9265,anonymous,EN,0.4000000059604645,1,1,1,3,3,3,2,3,2,41.008,43.631,44.415,2,1,20.231,20.231,21.493,1,2,20.197,20.197,21.222,1,6,5,5,5,5,5,5,3,27.378,29.948,30.825,3,3,24.321,25.782,26.194,2,1,62.14,73.63,74.585,3,6,6,3,4,5,3,3,1,23.534,23.946,25.322,2,2,16.095,16.095,19.85,1,1,66.214,66.214,67.095,1,5,5,7,7,5,5,5,1,25.421,25.421,26.081,1,2,9.251,9.251,11.282,1,2,57.382,57.382,58.183,1,6,6,5,5,5,4,3,1,1,,"'- Bigger text for the items instead of icons or more relevant icons
- Tweak the colour scheme","'- Link is broken can't go back to home page https://cs4249-experiment-setup.vercel.app/contact-details.html?variant=login-b-home-b&participant_id=68221 so I don't think I managed to save it as the instructions mentioned to click the home page after each trail to save progress
- Dropdown is not working too",NA,68221,2025-04-15T23:37:55+08:00,2
18/4/2025 20:24,18/4/2025 20:38,0,42.61.233.210,100,863,1,18/4/2025 20:38,R_9JYtw7vrZpSyBt7,,,,,1.3732,103.8431,anonymous,EN,1,1,1,1,1,2,3,2,2,2,1.111,24.62,26.079,2,1,6.363,14.989,16.124,2,2,7.681,21.451,32.367,2,6,5,5,5,5,5,5,3,4.049,19.818,20.448,2,3,4.459,26.628,29.817,4,1,7.935,22.203,22.934,2,6,6,6,6,6,6,6,1,3.542,21.885,29.344,2,2,7.881,30.566,30.885,3,1,6.432,37.04,43.922,2,6,6,6,6,6,6,6,1,1.175,19.081,20.645,2,2,4.925,20.832,21.909,2,2,25.304,62.626,63.523,2,7,7,5,5,5,5,5,1,1,,smaller text size for tiles for portal B/D,Cannot click home button on contacts page,no,47477,2025-04-18T20:28:43+08:00,3
18/4/2025 22:50,18/4/2025 23:06,0,119.74.104.192,100,976,1,18/4/2025 23:06,R_9NqeQxKTyxkULTE,,,,,1.3362,103.719,anonymous,EN,1,1,1,1,2,1,3,2,3,2,12.622,39.367,40.473,2,1,7.902,52.851,58.104,2,2,5.085,20.191,21.101,2,5,5,6,6,6,6,6,3,4.595,21.643,23.693,2,3,3.791,18.034,19.274,2,1,4.775,29.796,49.958,3,7,7,7,7,7,7,7,1,3.132,30.17,31.305,2,2,19.84,19.84,20.939,1,1,19.285,19.285,20.765,1,5,5,7,7,7,7,7,1,14.7,27.542,28.528,2,2,17.661,17.661,19.658,1,2,20.582,35.252,36.351,2,7,7,5,5,6,3,6,1,1,,The system is buggy the home button does not work sometimes when i am in the personal info page looking for my number.,Yes home button issues,Greatthat you were able to create a web app for this however giving all the links inthe start made me feel that i had to go through all of them before i started which would already create preconcieved notions hence bias.,51736,2025-04-18T22:56:10+08:00,1
19/4/2025 4:19,19/4/2025 4:28,0,137.132.26.188,100,590,1,19/4/2025 4:28,R_9DDDfs8SS5KlalX,,,,,1.3024,103.7857,anonymous,EN,1,1,1,1,2,2,3,2,3,2,1.615,21.155,21.975,2,1,4.968,15.629,16.418,2,2,4.838,17.967,18.745,2,6,6,6,6,6,6,6,3,1.798,25.783,26.509,2,2,7.535,24.159,25.003,2,1,1.884,26.625,27.462,2,6,6,4,3,4,5,5,1,4.615,32.684,38.999,2,2,10.755,60.668,61.698,3,1,5.168,47.247,50.517,2,5,5,5,5,5,5,5,1,8.157,28.245,28.971,2,2,4.422,12.641,42.853,2,2,4.435,20.756,21.453,2,6,6,6,6,6,6,6,1,3,,too many fields to choose from,nil,lesser fields (the square box thingy) orange as the login button is great,88314,2025-04-19T04:20:27+08:00,3
19/4/2025 15:32,19/4/2025 15:48,0,137.132.26.124,100,985,1,19/4/2025 15:48,R_9wqSibfB6fWPTvb,,,,,1.3024,103.7857,anonymous,EN,0.8999999761581421,1,1,1,1,3,3,1,3,2,1.641,26.595,27.252,2,1,9.214,35.037,35.941,2,2,6.446,34.83,35.354,3,6,6,7,7,6,6,6,3,33.829,68.416,69.22,2,3,8.415,85.53,86.486,11,1,22.704,71.948,73.109,3,7,7,5,6,5,5,6,1,17.254,64.253,64.885,4,2,5.628,22.628,23.346,2,1,7.346,17.814,18.428,2,6,5,4,5,6,6,6,1,43.53,72.226,72.99,2,2,9.206,30.808,31.448,2,2,4.066,19.811,20.422,2,7,7,7,6,7,6,7,2,1,,No,No,No,74407,2025-04-19T15:34:09+08:00,2
