StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Q1,Q2,Q3,Q4,Q66,Q5,Q7,Q56,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q57,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q48,Q83_First Click,Q83_Last Click,Q83_Page Submit,Q83_Click Count,Q50_1,Q50_2,Q50_3,Q50_4,Q50_5,Q50_6,Q50_7,Q59,Q85_First Click,Q85_Last Click,Q85_Page Submit,Q85_Click Count,Q95,Q60_First Click,Q60_Last Click,Q60_Page Submit,Q60_Click Count,Q61,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q45_6,Q45_7,Q68,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q67,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q69,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q71,Q90_First Click,Q90_Last Click,Q90_Page Submit,Q90_Click Count,Q70,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,Q72,Q92_First Click,Q92_Last Click,Q92_Page Submit,Q92_Click Count,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q78,Q6,Q6_6_TEXT,Q55,Q56,Q57,Random ID,timestamp,arrangement
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Participant's Agreement

By participating in this study, you acknowledge that:
 •	You have read the information provided in this consent form.
 •	You understand the purpose of the study, the procedures involved, and any potential risks.
 •	You voluntarily agree to participate in the research.

You understand that you can withdraw at any time without any consequences, and your data will be discarded.

Please click ""I Agree"" to indicate your consent to participate in this study. 
By clicking ""I Agree"", you are confirming that you have understood the information provided and agree to participate voluntarily.",Are you currently a NUS student?,Have you used the EduRec System before?,How would you rate your familiarity with digital tools and technology?,How comfortable are you with using online student portals?,How many tasks do you need to complete for each portal?,Is this you first semester in NUS?,How often do you visit EduRec System per semester ?,"Task: Please go to the 'Course Registration' section and locate the lecture location for the course 'CS4249: Phenomena and Theories of Human-Computer Interaction'.



Click here to start the task. [Field-timestamp]



Select the lecture room for course 'CS4249: Phenomena and Theories of Human-Computer Interaction.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and find the Student ID assigned to you.



Click here to start the task. [Field-timestamp]



Select the Student ID assigned to you.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and find the total amount payable for the current student bill.



Click here to start the task. [Field-timestamp]



Select the total amount payable for the current student bill.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal A.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal A.,Do you agree with the following statements? - It is easy to navigate the system on Portal A.,Do you agree with the following statements? - The layout of the main menu is clear on Portal A.,Do you agree with the following statements? - It is easy to access the course registration information on Portal A.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal A.,Do you agree with the following statements? - It is easy to access the student bill information on Portal A.,"Task: Please go to the 'Course Registration' section and find the lecture timeslot for the course 'CS4249: Phenomena and Theories of Human-Computer Interaction.



Click here to start the task.[Field-timestamp]



Select the lecture timeslot of the course",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and find the Email ID assigned to you.



Click here to start the task.[Field-timestamp]



Select the Student ID assigned to you.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and find the Net tuition fee for the current student bill.



Click here to start the task.[Field-timestamp]



Select the tuition fee amount.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal B.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal B.,Do you agree with the following statements? - It is easy to navigate the system on Portal B.,Do you agree with the following statements? - The layout of the main menu is clear on Portal B.,Do you agree with the following statements? - It is easy to access the course registration information on Portal B.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal B.,Do you agree with the following statements? - It is easy to access the student bill information on Portal B.,"Task: Please go to the 'Course Registration' section and identify the Course Code for which was not registered.



Click here to start the task.[Field-timestamp]



Select the Course Code for the Course that was not registered.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and check if the current mailing address postal code is 119077.



Click here to start the task.[Field-timestamp]



Select the correct answer.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and locate the miscellaneous student fee for the current bill.



Click here to start the task.[Field-timestamp]



Select the amount for miscellaneous student fee.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statement? - The login button is easy to locate on Portal C.,Do you agree with the following statement? - The design of the login button felt intuitive on Portal C.,Do you agree with the following statement? - It is easy to navigate the system on Portal C.,Do you agree with the following statement? - The layout of the main menu was clear on Portal C.,Do you agree with the following statement? - It is easy to access the course registration information on Portal C.,Do you agree with the following statement? - It is easy to access the individual contact information on Portal C.,Do you agree with the following statement? - It is easy to access the student bill information on Portal C.,"Task: Please go to the 'Course Registration' section and find the Course Code for the class scheduled on Tuesday



Click here to start the task.[Field-timestamp]



Select the Course Code:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Personal Info' section and verify if your current contact number is listed as +65 6516 6666.



Click here to start the task.[Field-timestamp]



Select the correct answer.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Task: Please go to the 'Student Financials' section and locate the Miscellaneous Health Fee for the current bill.



Click here to start the task.[Field-timestamp]



Select the amount for the Miscellaneous Health Fee",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Do you agree with the following statements? - The login button is easy to locate on Portal D.,Do you agree with the following statements? - The design of the login button felt intuitive on Portal D.,Do you agree with the following statements? - It is easy to navigate the system on Portal D.,Do you agree with the following statements? - The layout of the main menu is clear on Portal D.,Do you agree with the following statements? - It is easy to access the course registration information on Portal D.,Do you agree with the following statements? - It is easy to access the individual contact information on Portal D.,Do you agree with the following statements? - It is easy to access the student bill information on Portal D.,Which of the following best describes your background?,"What is your current program at NUS? 
(Select the category that best describes your field of study) - Selected Choice","What is your current program at NUS? 
(Select the category that best describes your field of study) - Other (Please specify): - Text",What improvements would you suggest for the system?,Were there any issues you encountered that impacted your overall experience?,Do you have any additional comments or suggestions?,Random ID,timestamp,arrangement
"{""ImportId"":""startDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""endDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Asia/Hong_Kong""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID81""}","{""ImportId"":""QID24""}","{""ImportId"":""QID18""}","{""ImportId"":""QID71""}","{""ImportId"":""QID96_FIRST_CLICK""}","{""ImportId"":""QID96_LAST_CLICK""}","{""ImportId"":""QID96_PAGE_SUBMIT""}","{""ImportId"":""QID96_CLICK_COUNT""}","{""ImportId"":""QID72""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID98_FIRST_CLICK""}","{""ImportId"":""QID98_LAST_CLICK""}","{""ImportId"":""QID98_PAGE_SUBMIT""}","{""ImportId"":""QID98_CLICK_COUNT""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID65_2""}","{""ImportId"":""QID65_3""}","{""ImportId"":""QID65_4""}","{""ImportId"":""QID65_5""}","{""ImportId"":""QID65_6""}","{""ImportId"":""QID65_7""}","{""ImportId"":""QID74""}","{""ImportId"":""QID100_FIRST_CLICK""}","{""ImportId"":""QID100_LAST_CLICK""}","{""ImportId"":""QID100_PAGE_SUBMIT""}","{""ImportId"":""QID100_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID76""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_7""}","{""ImportId"":""QID83""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID82""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID104_FIRST_CLICK""}","{""ImportId"":""QID104_LAST_CLICK""}","{""ImportId"":""QID104_PAGE_SUBMIT""}","{""ImportId"":""QID104_CLICK_COUNT""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID61_6""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID86""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID85""}","{""ImportId"":""QID106_FIRST_CLICK""}","{""ImportId"":""QID106_LAST_CLICK""}","{""ImportId"":""QID106_PAGE_SUBMIT""}","{""ImportId"":""QID106_CLICK_COUNT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID62_1""}","{""ImportId"":""QID62_2""}","{""ImportId"":""QID62_3""}","{""ImportId"":""QID62_4""}","{""ImportId"":""QID62_5""}","{""ImportId"":""QID62_6""}","{""ImportId"":""QID62_7""}","{""ImportId"":""QID93""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_6_TEXT""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""Random ID""}","{""ImportId"":""timestamp""}","{""ImportId"":""arrangement""}"
2025-03-10 20:09:42,2025-03-10 20:10:30,1,,100,48,1,2025-03-10 20:10:31,R_9IDX8thU55738UA,,,,,1.3153,103.9143,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-10 20:11:35,2025-03-10 20:12:14,1,,100,39,1,2025-03-10 20:12:15,R_911isnnNT1wYtR0,,,,,1.3153,103.9143,preview,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-10 21:59:50,2025-03-10 22:00:08,1,,100,18,1,2025-03-10 22:00:09,R_98J5GtXbbvT9VYX,,,,,1.3236,103.7909,preview,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12 11:40:10,2025-03-12 11:40:17,1,,100,6,1,2025-03-12 11:40:18,R_93e2x26lzq0xFwd,,,,,1.3236,103.7909,preview,EN,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-12 11:40:21,2025-03-12 11:40:42,1,,100,20,1,2025-03-12 11:40:43,R_9xyMqcVo7R3T0i1,,,,,1.3236,103.7909,preview,EN,,1,1,1,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13 14:00:19,2025-03-13 14:00:37,1,,100,17,1,2025-03-13 14:00:37,R_9Nn0OqjI6gLp6kA,,,,,1.3153,103.9143,preview,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13 16:50:09,2025-03-13 16:50:37,1,,100,27,1,2025-03-13 16:50:37,R_9SC6Bouok3B8B5n,,,,,1.3153,103.9143,preview,EN,,1,2,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-13 16:50:43,2025-03-13 16:52:15,1,,100,91,1,2025-03-13 16:52:15,R_9tUx2tpI5RbDBol,,,,,1.3153,103.9143,preview,EN,,1,1,1,1,2,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Unknown,,,,,,3
